Region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
TOTAL,2986,2416,1881,1541,1488,1529,1573,1393,1471,1481,1223,946
Andalucía,288,214,206,171,141,155,161,151,163,206,130,105
Aragón,87,68,49,51,41,34,49,36,48,48,38,41
Asturias,42,37,25,25,25,22,15,35,18,11,11,4
Baleares,103,78,57,48,43,42,39,48,60,52,24,26
Canarias,100,94,67,57,57,48,50,40,39,53,31,39
Cantabria,15,9,16,10,13,16,14,10,16,11,7,6
Castilla - León,126,102,94,81,47,55,66,73,71,55,51,41
Castilla - La Mancha,108,88,65,59,63,77,87,74,73,87,69,86
Com. Valenciana,199,210,135,105,182,215,218,177,174,186,160,124
Cataluña,394,314,248,192,113,114,119,116,120,132,126,78
Extremadura,35,34,33,17,17,33,23,12,19,22,15,10
Galicia,76,62,41,31,31,35,29,39,30,40,30,19
Madrid,848,673,551,422,410,378,418,322,365,327,307,209
Murcia,103,65,56,37,47,50,57,63,58,66,53,34
Navarra,104,88,67,54,64,75,81,69,65,56,41,41
La Rioja,11,16,9,8,183,173,137,120,128,116,112,70
Pais Vasco,342,262,160,171,10,6,9,7,22,10,15,10
Ceuta,5,1,2,2,0,1,1,1,0,2,3,1
Melilla,0,1,0,0,1,0,0,0,2,1,0,2
